# Câu Hán|Pinyin (thanh từ điển; 一/不 có thể biến điệu khi nói)|Nghĩa Việt|Từ được giải thích:nghĩa trong câu
“丌”是一个古字。|“Jī” shì yī ge gǔzì.|丌 là một chữ cổ.|丌:giá đỡ, bệ theo nghĩa cổ
古书里有“丌”字。|Gǔshū lǐ yǒu “jī” zì.|Trong sách cổ có chữ 丌.|丌:chữ cổ, ít dùng độc lập
“乂”有治理的意思。|“Yì” yǒu zhìlǐ de yìsi.|乂 có nghĩa là cai trị.|乂:cai trị, nghĩa cổ
我在古书里见过“乂”。|Wǒ zài gǔshū lǐ jiàn guo “yì”.|Tôi từng thấy chữ 乂 trong sách cổ.|乂:chữ cổ chỉ việc cai trị, ổn định
“乜”可以读作“miē”。|“Miē” kěyǐ dú zuò “miē”.|乜 có thể đọc là miē.|乜:liếc mắt, nghĩa hiếm
他姓乜。|Tā xìng Niè.|Anh ấy họ Niếp.|乜:khi làm họ thường đọc niè
今年是亥年。|Jīnnián shì hài nián.|Năm nay là năm Hợi (câu minh họa).|亥:Hợi, địa chi thứ mười hai
“亥”是十二地支之一。|“Hài” shì shí'èr dìzhī zhī yī.|亥 là một trong mười hai địa chi.|亥:Hợi
“卅”表示三十。|“Sà” biǎoshì sānshí.|卅 biểu thị số ba mươi.|卅:ba mươi
旧书里写着“卅年”。|Jiùshū lǐ xiě zhe “sà nián”.|Trong sách cũ viết “ba mươi năm”.|卅年:ba mươi năm, cách ghi cũ
“壬”是天干之一。|“Rén” shì tiāngān zhī yī.|壬 là một trong các thiên can.|壬:Nhâm
日历上写着“壬寅”。|Rìlì shàng xiě zhe “rényín”.|Trên lịch ghi “Nhâm Dần”.|壬寅:Nhâm Dần, tên can chi
“夬”是一个卦名。|“Guài” shì yī ge guàmíng.|夬 là tên một quẻ.|夬:Quải, quẻ trong Kinh Dịch
我在书里看到了“夬卦”。|Wǒ zài shū lǐ kàn dào le “guài guà”.|Tôi thấy “quẻ Quải” trong sách.|夬卦:quẻ Quải
“巳”对应生肖蛇。|“Sì” duìyìng shēngxiào shé.|巳 tương ứng con giáp rắn.|巳:Tỵ
“巳”不要写成“已”。|“Sì” bù yào xiě chéng “yǐ”.|Đừng viết nhầm 巳 thành 已.|巳:Tỵ, phân biệt với 已 nghĩa đã
“廿”表示二十。|“Niàn” biǎoshì èrshí.|廿 biểu thị số hai mươi.|廿:hai mươi
农历上写着“廿一”。|Nónglì shàng xiě zhe “niàn yī”.|Trên lịch âm ghi “hai mươi mốt”.|廿一:hai mươi mốt
这本书介绍了弋射。|Zhè běn shū jièshào le yìshè.|Sách này giới thiệu cách bắn tên có dây.|弋射:bắn bằng tên có dây, cách săn thời cổ
“弋”和“戈”不一样。|“Yì” hé “gē” bù yīyàng.|弋 và 戈 không giống nhau.|弋:bộ Dặc;戈:cây qua, bộ Qua
古文中的“弗”表示“不”。|Gǔwén zhōng de “fú” biǎoshì “bù”.|弗 trong văn cổ biểu thị “không”.|弗:không, văn cổ
这个古句用了“弗”。|Zhè ge gǔjù yòng le “fú”.|Câu cổ này dùng chữ 弗.|弗:từ phủ định cổ
老师解释了彖辞。|Lǎoshī jiěshì le tuàncí.|Thầy/cô đã giải thích lời đoán quẻ.|彖辞:lời giải nghĩa quẻ trong Kinh Dịch
“彖”是书里的一个生字。|“Tuàn” shì shū lǐ de yī ge shēngzì.|彖 là một chữ mới trong sách.|彖:thuật ngữ về quẻ Kinh Dịch
博物馆里有一件青铜戈。|Bówùguǎn lǐ yǒu yī jiàn qīngtóng gē.|Trong bảo tàng có một cây qua bằng đồng.|戈:vũ khí cổ cán dài
“戊”是第五个天干。|“Wù” shì dì wǔ ge tiāngān.|戊 là thiên can thứ năm.|戊:Mậu
日历上写着“戊戌”。|Rìlì shàng xiě zhe “wùxū”.|Trên lịch ghi “Mậu Tuất”.|戊戌:Mậu Tuất
“戋”是一个不常见的字。|“Jiān” shì yī ge bù chángjiàn de zì.|戋 là một chữ ít gặp.|戋:ít, nhỏ theo nghĩa cổ
“浅”的右边是“戋”。|“Qiǎn” de yòubian shì “jiān”.|Bên phải chữ 浅 là 戋.|戋:thành phần hình thể trong 浅
“毋”有“不要”的意思。|“Wú” yǒu “bù yào” de yìsi.|毋 có nghĩa “đừng”.|毋:đừng, văn cổ
这件事毋庸置疑。|Zhè jiàn shì wúyōng zhìyí.|Việc này không cần nghi ngờ.|毋庸置疑:không cần nghi ngờ, văn viết
他研究古代氐族。|Tā yánjiū gǔdài Dīzú.|Anh ấy nghiên cứu tộc Đê thời cổ.|氐族:tộc Đê
书中介绍了氐族的历史。|Shū zhōng jièshào le Dīzú de lìshǐ.|Sách giới thiệu lịch sử tộc Đê.|氐族:tên dân tộc cổ
“爿”是一个古字。|“Pán” shì yī ge gǔzì.|爿 là một chữ cổ.|爿:mảnh gỗ chẻ, nghĩa cổ
字典里有“爿”这个部首。|Zìdiǎn lǐ yǒu “pán” zhè ge bùshǒu.|Từ điển có bộ 爿.|爿:bộ Tường
我想去甪直。|Wǒ xiǎng qù Lùzhí.|Tôi muốn đến Lục Trực.|甪直:Lục Trực, tên thị trấn
甪直是一个古镇。|Lùzhí shì yī ge gǔzhèn.|Lục Trực là một thị trấn cổ.|甪直:địa danh, 甪 đọc lù
“矢”有箭的意思。|“Shǐ” yǒu jiàn de yìsi.|矢 có nghĩa là mũi tên.|矢:mũi tên, cổ
这位运动员矢志不渝。|Zhè wèi yùndòngyuán shǐzhì bù yú.|Vận động viên này kiên định không đổi chí.|矢志不渝:giữ vững lời thề/chí hướng, văn viết
他住在番禺。|Tā zhù zài Pānyú.|Anh ấy sống ở Phiên Ngung.|番禺:Phiên Ngung, địa danh ở Quảng Châu
我去过番禺。|Wǒ qù guo Pānyú.|Tôi từng đến Phiên Ngung.|番禺:địa danh, 禺 đọc yú
博物馆里有一个陶缶。|Bówùguǎn lǐ yǒu yī ge táofǒu.|Trong bảo tàng có một vò gốm.|陶缶:vò đất nung cổ
“缶”是一种古代容器。|“Fǒu” shì yī zhǒng gǔdài róngqì.|缶 là một loại đồ đựng thời cổ.|缶:vò gốm
耒是一种古代农具。|Lěi shì yī zhǒng gǔdài nóngjù.|耒 là một nông cụ thời cổ.|耒:cày tay cổ
“耕”的左边是“耒”。|“Gēng” de zuǒbian shì “lěi”.|Bên trái chữ 耕 là 耒.|耒:bộ Lỗi, liên quan làm ruộng
“聿”古代指笔。|“Yù” gǔdài zhǐ bǐ.|Thời cổ, 聿 chỉ cây bút.|聿:bút theo nghĩa cổ
“律”的右边是“聿”。|“Lǜ” de yòubian shì “yù”.|Bên phải chữ 律 là 聿.|聿:thành phần hình thể trong 律
须臾之间，天就黑了。|Xūyú zhījiān, tiān jiù hēi le.|Chỉ trong chốc lát, trời đã tối.|须臾:chốc lát, văn viết
古书里常见“须臾”一词。|Gǔshū lǐ chángjiàn “xūyú” yī cí.|Trong sách cổ thường gặp từ 须臾.|须臾:khoảnh khắc ngắn
“艮”是八卦之一。|“Gèn” shì bāguà zhī yī.|艮 là một trong Bát quái.|艮:Cấn
“很”的右边是“艮”。|“Hěn” de yòubian shì “gèn”.|Bên phải chữ 很 là 艮.|艮:thành phần hình thể trong 很
她姓芈。|Tā xìng Mǐ.|Cô ấy họ Mị.|芈:họ Mị
这本书介绍了芈姓。|Zhè běn shū jièshào le Mǐ xìng.|Sách này giới thiệu họ Mị.|芈:họ cổ
古代的“豕”指猪。|Gǔdài de “shǐ” zhǐ zhū.|豕 thời cổ chỉ con lợn.|豕:lợn, chữ cổ
“家”的下面是“豕”。|“Jiā” de xiàmian shì “shǐ”.|Phía dưới chữ 家 là 豕.|豕:thành phần hình thể trong 家
“豸”是一个部首。|“Zhì” shì yī ge bùshǒu.|豸 là một bộ thủ.|豸:bộ Trãi
“豹”的左边是“豸”。|“Bào” de zuǒbian shì “zhì”.|Bên trái chữ 豹 là 豸.|豸:thành phần trong chữ chỉ loài thú
“酉”对应生肖鸡。|“Yǒu” duìyìng shēngxiào jī.|酉 tương ứng con giáp gà.|酉:Dậu
“酉”是十二地支之一。|“Yǒu” shì shí'èr dìzhī zhī yī.|酉 là một trong mười hai địa chi.|酉:Dậu, địa chi thứ mười
我去之前会告诉你。|Wǒ qù zhīqián huì gàosu nǐ.|Trước khi đi tôi sẽ báo bạn.|之前:trước khi
吃饭之后我们去散步。|Chī fàn zhīhòu wǒmen qù sànbù.|Sau khi ăn cơm chúng ta đi dạo.|之后:sau khi
我想与你合作。|Wǒ xiǎng yǔ nǐ hézuò.|Tôi muốn hợp tác với bạn.|与:với
他出生于北京。|Tā chūshēng yú Běijīng.|Anh ấy sinh tại Bắc Kinh.|于:tại
关于这件事，我不知道。|Guānyú zhè jiàn shì, wǒ bù zhīdào.|Về việc này, tôi không biết.|关于:về
这里发现了一具尸体。|Zhèlǐ fāxiàn le yī jù shītǐ.|Ở đây đã phát hiện một thi thể.|尸体:thi thể
电影里出现了僵尸。|Diànyǐng lǐ chūxiàn le jiāngshī.|Trong phim xuất hiện cương thi.|僵尸:cương thi
他甩了甩手。|Tā shuǎi le shuǎi shǒu.|Anh ấy vẩy tay mấy cái.|甩:vung, vẩy
别把水甩到我身上。|Bié bǎ shuǐ shuǎi dào wǒ shēnshang.|Đừng vẩy nước lên người tôi.|甩:vẩy
我喜欢牡丹。|Wǒ xǐhuan mǔdan.|Tôi thích hoa mẫu đơn.|牡丹:hoa mẫu đơn
院子里有牡丹。|Yuànzi lǐ yǒu mǔdan.|Trong sân có hoa mẫu đơn.|牡丹:hoa mẫu đơn
这双鞋不丑。|Zhè shuāng xié bù chǒu.|Đôi giày này không xấu.|丑:xấu
他在表演小丑。|Tā zài biǎoyǎn xiǎochǒu.|Anh ấy đang diễn vai hề.|小丑:chú hề
不要争斗。|Bù yào zhēngdòu.|Đừng đánh nhau.|争斗:tranh đấu, 斗 đọc dòu
