# Chữ|cách đọc chính|các nghĩa thường học (phân cách bằng ;). Biên soạn cho người mới học.
一|yī|một; mỗi/toàn bộ trong một số từ ghép
乙|yǐ|thứ hai trong Thiên can; bên B, loại B
二|èr|hai; thứ hai
十|shí|mười
丁|dīng|người đàn ông trưởng thành (nghĩa cổ); miếng nhỏ hình hạt lựu; họ Đinh
厂|chǎng|nhà máy, xưởng
七|qī|bảy
卜|bǔ|bói, đoán việc lành dữ; họ Bốc
八|bā|tám
人|rén|người; người thuộc một nhóm hoặc nghề
入|rù|vào; gia nhập
儿|ér|con, trẻ nhỏ; âm cuốn lưỡi -r trong một số từ
匕|bǐ|dao găm (trong 匕首); bộ Chủy
几|jǐ|mấy, bao nhiêu (số lượng nhỏ); vài
九|jiǔ|chín
乂|yì|cai trị, ổn định (văn cổ)
刁|diāo|xảo quyệt, khó chiều; họ Điêu
了|le|trợ từ chỉ hành động hoàn tất; trợ từ chỉ tình huống đã thay đổi
刀|dāo|dao; lượng từ cho xấp giấy theo cách đếm chuyên dùng
力|lì|sức, sức lực; khả năng, năng lực
乃|nǎi|bèn, mới (văn cổ); là (văn cổ)
又|yòu|lại (việc lặp lại); vừa…vừa… trong 又…又…
乜|miē|liếc mắt (hiếm); niè là cách đọc khi làm họ
三|sān|ba
干|gān|khô; can dự, liên quan
于|yú|ở, tại; đối với, so với (thường trong từ ghép/cấu trúc)
工|gōng|công việc; người thợ; công nghiệp
土|tǔ|đất; địa phương, mộc mạc
士|shì|người có học hoặc chuyên môn; binh sĩ
才|cái|mới (chỉ thời điểm muộn); chỉ (số lượng ít); tài năng
下|xià|dưới; xuống; tiếp theo; tan học/tan ca trong 下课、下班
寸|cùn|tấc Trung Quốc; đoạn rất ngắn
大|dà|to, lớn; trưởng thành; rất trong một số cách nói
丈|zhàng|trượng, đơn vị chiều dài truyền thống; người đàn ông lớn tuổi trong từ ghép
与|yǔ|và, cùng với; cho (văn viết)
万|wàn|mười nghìn; rất nhiều
兀|wù|cao trơ trọi (văn cổ); đột ngột trong 突兀
弋|yì|bắn chim bằng tên có dây (cổ); bộ Dặc
亍|chù|bước chậm, dừng bước (trong 彳亍)
上|shàng|trên; lên; đi học/đi làm trong 上学、上班
小|xiǎo|nhỏ; ít tuổi
口|kǒu|miệng; cửa/lối vào; lượng từ chỉ người trong gia đình
山|shān|núi
巾|jīn|khăn; vải dùng quấn hoặc lau
千|qiān|nghìn
川|chuān|sông (văn viết); viết tắt của Tứ Xuyên
个|gè|lượng từ thông dụng chỉ người, vật; cá thể
夕|xī|chiều tối; đêm trước một dịp lễ trong 除夕
久|jiǔ|lâu, thời gian dài
么|me|thành phần trong 什么、怎么、那么; không dịch riêng trong các từ này
丸|wán|viên tròn; viên thuốc
及|jí|và; kịp, đạt tới
彳|chì|bước chân nhỏ (cổ); bộ Xích
广|guǎng|rộng; nhiều, phổ biến
亡|wáng|chết; mất, diệt vong
门|mén|cửa; môn học, ngành; lượng từ cho môn học
丫|yā|chạc, nhánh chẻ đôi
义|yì|nghĩa, ý nghĩa; điều phải, chính nghĩa
之|zhī|của (văn viết); người/vật ấy trong một số cấu trúc cổ
尸|shī|thi thể, xác chết
己|jǐ|bản thân trong 自己
已|yǐ|đã; dừng, thôi trong một số từ ghép
巳|sì|Tỵ, địa chi thứ sáu
弓|gōng|cung bắn tên; vật cong hình cung
子|zǐ|con; hạt; zi là hậu tố trong nhiều danh từ
卫|wèi|bảo vệ; vệ sinh trong 卫生
也|yě|cũng; ngay cả…cũng… trong cấu trúc nhấn mạnh
女|nǚ|nữ, phụ nữ; con gái
刃|rèn|lưỡi/sắc cạnh của dao
飞|fēi|bay; rất nhanh trong từ ghép
习|xí|học, luyện tập; thói quen
叉|chā|nĩa; chạc; dấu chéo
马|mǎ|ngựa; họ Mã
乡|xiāng|quê, nông thôn; xã (đơn vị hành chính)
孑|jié|đơn độc (văn viết); thành phần trong 孑孓 (bọ gậy)
孓|jué|thành phần trong 孑孓: bọ gậy
幺|yāo|nhỏ, út (hiếm); cách đọc số 1 khi đọc dãy số
丌|jī|giá đỡ, bệ (chữ cổ, hiếm)
丰|fēng|phong phú; đầy đặn; mùa màng tốt
王|wáng|vua; người đứng đầu trong một lĩnh vực; họ Vương
开|kāi|mở, bật; lái xe; bắt đầu, tổ chức
井|jǐng|giếng
天|tiān|trời; ngày; thời tiết
夫|fū|chồng; người đàn ông trong từ ghép
无|wú|không có; không (văn viết)
专|zhuān|chuyên, tập trung; dành riêng
丐|gài|người ăn xin trong 乞丐
木|mù|cây, gỗ; đờ, cứng nhắc trong từ ghép
五|wǔ|năm (số 5)
不|bù|không; phủ định hành động hoặc tính chất
犬|quǎn|chó (văn viết, tên giống chó)
太|tài|quá, rất; bậc cao hoặc lớn trong một số từ ghép
歹|dǎi|xấu, ác (thường trong từ ghép)
尤|yóu|đặc biệt trong 尤其; lỗi lầm (cổ)
车|chē|xe; phương tiện có bánh
巨|jù|rất lớn, khổng lồ
牙|yá|răng; ngà, nanh
屯|tún|tích trữ; đóng quân; làng nhỏ (một số địa danh)
戈|gē|qua, vũ khí cán dài thời cổ
互|hù|lẫn nhau, qua lại
瓦|wǎ|ngói; oát (đơn vị công suất)
亓|qí|họ Kỳ; dạng cổ của 其
韦|wéi|da đã thuộc (cổ); họ Vi
廿|niàn|hai mươi (thường gặp khi ghi ngày âm lịch)
卅|sà|ba mươi (cách viết rút gọn)
止|zhǐ|dừng; chỉ, đến mức trong một số từ
少|shǎo|ít; thiếu
曰|yuē|nói rằng (văn cổ)
日|rì|mặt trời; ngày; Nhật Bản trong từ ghép
中|zhōng|giữa, trong; Trung Quốc/tiếng Trung trong từ ghép
贝|bèi|vỏ sò, động vật có vỏ; tiền thời cổ
内|nèi|bên trong; trong phạm vi
水|shuǐ|nước; chất lỏng trong một số từ ghép
见|jiàn|thấy, nhìn thấy; gặp
午|wǔ|buổi trưa trong 中午; Ngọ, địa chi thứ bảy
牛|niú|bò, trâu; giỏi (khẩu ngữ)
手|shǒu|tay; người giỏi một kỹ năng trong từ ghép
气|qì|khí, không khí; hơi thở; tức giận trong 生气
毛|máo|lông; hào, 1/10 nhân dân tệ; thô, chưa tinh chế
壬|rén|Nhâm, thiên can thứ chín
升|shēng|lên, tăng; lít
夭|yāo|chết yểu trong 夭折; tươi đẹp (cổ)
长|cháng|dài; lâu
片|piàn|miếng, lát, mảnh; phim; lượng từ chỉ vật mỏng
币|bì|tiền, tiền tệ
斤|jīn|cân Trung Quốc, hiện bằng 500 g ở Trung Quốc đại lục
爪|zhǎo|móng vuốt; bàn chân có vuốt
父|fù|cha (thường trong 父亲、父母)
月|yuè|mặt trăng; tháng
氏|shì|họ, dòng họ; thị tộc
勿|wù|đừng, chớ (biển báo/văn viết)
欠|qiàn|nợ; thiếu
丹|dān|đỏ, chu sa; thuốc viên theo cách gọi cổ
乌|wū|quạ trong 乌鸦; đen
文|wén|chữ viết, văn bản; ngôn ngữ; văn hóa
方|fāng|vuông; phương hướng; cách, phương pháp
火|huǒ|lửa; nóng, nổi tiếng (khẩu ngữ)
为|wèi|vì, cho, vì lợi ích của
斗|dǒu|đấu, dụng cụ/đơn vị đong truyền thống; hình cái gáo
户|hù|hộ gia đình; cửa (văn viết)
心|xīn|tim; tâm trí, lòng; trung tâm
卞|biàn|họ Biện
尺|chǐ|thước; đơn vị chiều dài truyền thống
丑|chǒu|xấu, xấu xí; Sửu, địa chi thứ hai
巴|bā|bám, dính (trong từ ghép); thành phần trong 尾巴、嘴巴
办|bàn|làm, xử lý; tổ chức; giải quyết
予|yǔ|cho, trao (văn viết)
书|shū|sách; thư/văn bản; viết trong 书写
尹|yǐn|họ Doãn; chức quan thời cổ
夬|guài|quyết, dứt khoát (cổ); tên quẻ trong Kinh Dịch
爿|pán|mảnh gỗ chẻ (cổ); lượng từ địa phương cho cửa hàng
毋|wú|đừng, không được (văn cổ)
玉|yù|ngọc
未|wèi|chưa; tương lai trong 未来; Mùi, địa chi thứ tám
末|mò|cuối, đoạn cuối; bột vụn trong từ ghép
示|shì|cho thấy, biểu thị; chỉ dẫn
正|zhèng|đúng, ngay thẳng; chính; đang trong 正在
甘|gān|ngọt (văn viết); cam lòng
世|shì|đời, thế hệ; thế giới
本|běn|gốc, vốn có; này; lượng từ cho sách
术|shù|kỹ thuật; phương pháp; nghệ thuật
石|shí|đá
戊|wù|Mậu, thiên can thứ năm
龙|lóng|rồng
平|píng|phẳng; bằng nhau; bình yên
东|dōng|đông (phương hướng)
戋|jiān|ít, nhỏ (chữ cổ); thành phần tạo chữ
凸|tū|lồi, nhô ra
业|yè|nghề, ngành; sự nghiệp; việc học
目|mù|mắt (văn viết); mục, hạng mục
且|qiě|và, hơn nữa; tạm thời
甲|jiǎ|đứng đầu, loại A; giáp/vỏ cứng; Giáp, thiên can đầu tiên
申|shēn|trình bày, xin trong 申请; Thân, địa chi thứ chín
电|diàn|điện; liên quan điện thoại/điện ảnh trong từ ghép
田|tián|ruộng
由|yóu|do, bởi; từ; tùy
史|shǐ|lịch sử; sử sách
央|yāng|trung tâm trong 中央; cầu xin trong 央求
冉|rǎn|chậm rãi trong 冉冉; họ Nhiễm
皿|mǐn|đồ đựng, bát đĩa (văn viết); bộ Mãnh
凹|āo|lõm, trũng
生|shēng|sinh ra; sống; sống/chưa chín; người học trong 学生
矢|shǐ|mũi tên (cổ); thề trong 矢志
失|shī|mất; sai, thất bại trong từ ghép
乍|zhà|vừa mới, thoạt; đột nhiên (văn viết)
禾|hé|cây lúa, cây ngũ cốc
丘|qiū|đồi; họ Khâu
白|bái|trắng; rõ trong 明白; uổng công trong 白忙
斥|chì|trách mắng; bài xích
瓜|guā|dưa
乎|hū|thành phần trong 几乎、在乎; trợ từ nghi vấn văn cổ
用|yòng|dùng, sử dụng; cần trong 不用
甩|shuǎi|vung, hất; bỏ lại phía sau
乐|lè|vui, vui vẻ
匆|cōng|vội vàng trong 匆忙、匆匆
册|cè|tập, quyển; lượng từ cho sách/tài liệu
鸟|niǎo|chim
氐|dī|Đê, tên tộc cổ; dǐ nghĩa gốc/rễ trong văn cổ
主|zhǔ|chủ; chính, quan trọng nhất; chủ trì
立|lì|đứng; lập, thành lập
半|bàn|nửa; một phần
头|tóu|đầu; đầu mút; lượng từ cho gia súc
必|bì|nhất định, chắc chắn; cần phải
永|yǒng|mãi, lâu dài
民|mín|người dân, nhân dân
弗|fú|không (văn cổ)
出|chū|ra; xuất hiện; sản xuất
皮|pí|da; vỏ; nghịch trong 调皮
矛|máo|giáo, thương thời cổ
母|mǔ|mẹ; giống cái; nguồn gốc
耳|ěr|tai
亚|yà|thứ hai, hạng nhì; châu Á trong 亚洲
臣|chén|bề tôi, quan dưới vua (cổ)
吏|lì|quan lại cấp thấp thời cổ
再|zài|lại, thêm lần nữa (thường nói việc sẽ làm); rồi mới
西|xī|tây (phương hướng); phương Tây
百|bǎi|trăm
而|ér|và, mà; nhưng (nối hai vế trong văn viết)
页|yè|trang giấy; lượng từ cho trang
夹|jiā|kẹp; gắp; xen ở giữa
夷|yí|san bằng; bình yên trong 化险为夷; cách gọi dân tộc ngoài Hoa Hạ thời cổ
耒|lěi|cày tay thời cổ; bộ Lỗi
虫|chóng|côn trùng, sâu bọ
曲|qǔ|bài hát, khúc nhạc
肉|ròu|thịt; phần thịt của quả
曳|yè|kéo, lôi (văn viết)
年|nián|năm; tuổi; Tết trong 过年
朱|zhū|đỏ son; họ Chu
乒|pīng|thành phần trong 乒乓球: bóng bàn; tiếng va chạm
乓|pāng|thành phần trong 乒乓球: bóng bàn; tiếng va chạm
臼|jiù|cối giã
自|zì|tự, bản thân; từ
血|xuè|máu
舟|zhōu|thuyền (văn viết)
兆|zhào|dấu hiệu, điềm; triệu theo một số quy ước kỹ thuật, cần xem ngữ cảnh
缶|fǒu|vò, đồ đựng bằng đất nung thời cổ
甪|lù|chữ dùng trong tên riêng/địa danh, như 甪直
产|chǎn|sản xuất; sinh; sản phẩm, tài sản trong từ ghép
亥|hài|Hợi, địa chi thứ mười hai
羊|yáng|dê, cừu; cần xem từ ghép để phân biệt
米|mǐ|gạo; mét
州|zhōu|châu, bang; đơn vị hành chính/địa danh
农|nóng|nông nghiệp; người làm ruộng trong 农民
聿|yù|bút thời cổ; bộ Duật
艮|gèn|Cấn, tên một quẻ trong Bát quái
严|yán|nghiêm, nghiêm khắc; kín, chặt
求|qiú|cầu, xin; tìm kiếm
甫|fǔ|vừa mới (văn viết); cách gọi đàn ông thời cổ/tên riêng
更|gèng|hơn nữa; càng
束|shù|bó, buộc; lượng từ cho bó hoa
两|liǎng|hai (trước nhiều lượng từ); cả hai
酉|yǒu|Dậu, địa chi thứ mười
来|lái|đến; sắp tới; khoảng trong một số cách nói
豕|shǐ|lợn (chữ cổ)
里|lǐ|trong, bên trong; lý, đơn vị khoảng cách
串|chuàn|xâu, chuỗi; lượng từ cho đồ xâu thành chuỗi
芈|mǐ|họ Mị; tiếng dê kêu (cổ)
身|shēn|thân thể; bản thân; bộ quần áo trong một số cách đếm
系|xì|hệ, khoa; liên hệ, quan hệ
豸|zhì|tên một bộ chữ Hán; chỉ loài thú trong cấu tạo chữ cổ
辛|xīn|cay; vất vả; Tân, thiên can thứ tám
良|liáng|tốt, lành
羌|qiāng|dân tộc Khương
事|shì|việc, sự việc; công việc; chuyện
雨|yǔ|mưa
非|fēi|không phải; sai; rất trong 非常
果|guǒ|quả, trái cây; kết quả
垂|chuí|rủ xuống; thẳng đứng trong 垂直
秉|bǐng|cầm, giữ (văn viết); giữ vững trong 秉持
臾|yú|khoảnh khắc ngắn trong 须臾 (văn viết)
肃|sù|nghiêm trang; nghiêm chỉnh
隶|lì|thuộc về trong 隶属; lệ thư trong 隶书
承|chéng|nhận, chịu; kế thừa; thừa nhận trong 承认
柬|jiǎn|thiệp, thư mời; viết tắt của Campuchia trong từ ghép
面|miàn|mặt; bề mặt/phía; mì, bột mì (giản thể của 麵)
韭|jiǔ|hẹ (thường trong 韭菜)
禺|yú|chữ trong tên địa danh; loài khỉ theo nghĩa cổ
重|zhòng|nặng; quan trọng
鬼|guǐ|ma, quỷ; người có tính nào đó trong một số cách gọi
禹|yǔ|Vũ, tên nhân vật Đại Vũ trong truyền thuyết Trung Quốc
食|shí|ăn (văn viết); thức ăn
彖|tuàn|lời đoán quẻ trong Kinh Dịch (thuật ngữ cổ)
象|xiàng|voi; hình tượng, hình dáng
鼠|shǔ|chuột
