Bộ thủ	Hán tự trong cột B	Pinyin	Hán Việt	Nghĩa Việt Nam	Cách nhớ	Ý nghĩa bộ	Từ vựng thường xuất hiện theo bộ thủ
人 / 亻	他, 你, 们, 俄, 伯, 体, 认	rén	Nhân	người	Dáng người đứng thẳng; khi đứng bên trái thường viết là 亻.	Liên quan đến con người, thân phận, hành động của người.	他, 你, 他们, 俄语, 身体, 认识
女	女, 好, 她, 妹, 姐, 姓, 安	nǚ	Nữ	phụ nữ, con gái	Hình người phụ nữ ngồi/khoanh tay.	Liên quan đến nữ giới, gia đình, quan hệ thân thuộc.	女, 好, 她, 妹妹, 姐姐, 姓
口	口, 吗, 哥, 语, 问, 叫, 喝, 号	kǒu	Khẩu	miệng	Hình cái miệng vuông.	Liên quan đến nói, hỏi, ăn uống, âm thanh.	口, 吗, 哥哥, 语, 问, 叫, 喝, 号
囗	四, 回, 国	wéi	Vi / Quốc bao	khung bao quanh	Một khung vây kín bốn phía.	Chỉ sự bao bọc, phạm vi, lãnh thổ.	四, 回, 国
大	大, 太, 天	dà	Đại	to, lớn	Người dang rộng hai tay nên trông rất lớn.	Chỉ sự lớn, rộng, mạnh.	大, 太, 天
一	一, 不, 天	yī	Nhất	một, nét ngang	Một nét ngang duy nhất.	Chỉ số một, nền, đường ngang.	一, 不, 天
二	二	èr	Nhị	hai	Hai nét ngang song song.	Chỉ số hai.	二
三	三	sān	Tam	ba	Ba nét ngang xếp chồng.	Chỉ số ba.	三
八 / 丷	八, 六, 弟, 爸	bā	Bát	tám, tách ra	Hai nét mở ra hai bên.	Chỉ sự phân tách, số tám; 丷 là biến thể thường gặp.	八, 六, 弟弟, 爸爸
十	十, 什	shí	Thập	mười	Một nét ngang gặp một nét dọc.	Chỉ số mười, sự đầy đủ/giao nhau.	十, 什么
白	白, 伯, 的	bái	Bạch	trắng	Giống mặt trời sáng có nét phẩy phía trên.	Liên quan đến màu trắng, sáng rõ.	白, 阿拉伯语, 的
马	马, 吗	mǎ	Mã	ngựa	Giản thể từ 馬, dáng con ngựa.	Liên quan đến ngựa; cũng dùng mượn âm.	马, 吗
心 / 忄	忙, 您, 德, 志	xīn	Tâm	tim, lòng	Trái tim; khi đứng bên trái viết là 忄.	Liên quan đến cảm xúc, suy nghĩ, tinh thần.	忙, 您, 德语, 杂志
彳	很, 德, 行	chì	Xích	bước chân trái	Dáng bước chân nhỏ.	Liên quan đến đi lại, hành vi, con đường.	很, 德语, 银行
氵 / 水	汉, 法, 河, 没	shuǐ	Thủy	nước	Ba giọt nước ở bên trái là 氵.	Liên quan đến nước, sông, chất lỏng.	汉语, 法语, 河内, 没关系
讠 / 言	语, 请, 谢, 谁, 认, 识	yán	Ngôn	lời nói, ngôn ngữ	Biến thể giản thể 讠 của chữ 言.	Liên quan đến nói, hỏi, cảm ơn, nhận biết.	汉语, 请, 谢谢, 谁, 认识
又	汉, 难, 对, 取	yòu	Hựu	lại, bàn tay phải	Hình bàn tay phải.	Liên quan đến cầm nắm, hành động, lặp lại.	汉语, 难, 对, 取
隹	难, 谁	zhuī	Chuy	chim đuôi ngắn	Hình chim nhỏ.	Liên quan đến chim; trong chữ học thường là thành phần gợi nghĩa/âm.	难, 谁
辶	这, 进	chuò	Sước	đi, bước đi	Giống con đường và bước chân.	Liên quan đến di chuyển, đi tới, hướng tới.	这, 这里, 进
宀	它, 学, 寄, 安, 客, 字	mián	Miên	mái nhà	Hình mái nhà che bên trên.	Liên quan đến nhà cửa, nơi ở, che phủ.	它, 学, 寄, 天安门, 客气, 汉字
子	好, 学, 字	zǐ	Tử	con, trẻ nhỏ	Hình đứa trẻ.	Liên quan đến con cái, học trò, chữ viết.	好, 学, 汉字
父	爸	fù	Phụ	cha	Hình bàn tay/cha trong chữ cổ.	Liên quan đến cha, bậc sinh thành nam.	爸爸
弓	弟	gōng	Cung	cây cung	Hình cây cung cong.	Liên quan đến cung tên, uốn cong.	弟弟
艹	英, 茶	cǎo	Thảo	cỏ, cây cỏ	Hai nét cỏ mọc trên đầu chữ.	Liên quan đến cây cỏ, thực vật.	英语, 茶
阝	阿, 那, 哪, 都, 邮	fù / yì	Phụ / Ấp	gò đất, vùng đất	Khi bên trái thường là gò đất; bên phải thường là vùng đất/ấp.	Liên quan đến địa danh, khu vực, nơi chốn.	阿拉伯语, 那, 哪, 都, 邮局
手 / 扌	我, 拉	shǒu	Thủ	tay	Hình bàn tay; bên trái thường viết 扌.	Liên quan đến cầm, nắm, kéo, thao tác.	我, 阿拉伯语
