sentence_id	target_word_id	target_hanzi	sentence_slot	sentence_hanzi	sentence_pinyin	sentence_vi	words	word_ids	blank_sentence	blank_answer_hanzi	blank_answer_word_id	blank_options_word_ids	grammar_ids	level	lesson_id	lesson_order	max_word_lesson_order	topic_id	audio_url	difficulty	tags	is_active	validation_status	scope_rule	note
s0001_1	w0001	我	1	我很好。	wǒ hěn hǎo	Tôi rất tốt.	我|很|好	w0001|w0020|w0002	___很好。	我	w0001			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0001_2	w0001	我	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0001_3	w0001	我	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0002_1	w0002	好	1	我很好。	wǒ hěn hǎo	Tôi rất tốt.	我|很|好	w0001|w0020|w0002	我很___。	好	w0002			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0002_2	w0002	好	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0002_3	w0002	好	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0003_1	w0003	大	1	马很大。	mǎ hěn dà	Con ngựa rất lớn.	马|很|大	w0008|w0020|w0003	马很___。	大	w0003			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0003_2	w0003	大	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0003_3	w0003	大	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0004_1	w0004	不	1	汉语不难。	Hànyǔ bù nán	Tiếng Hán không khó.	汉语|不|难	w0021|w0004|w0022	汉语___难。	不	w0004			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0004_2	w0004	不	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0004_3	w0004	不	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0005_1	w0005	口	1	口不大。	kǒu bù dà	Miệng không lớn.	口|不|大	w0005|w0004|w0003	___不大。	口	w0005			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0005_2	w0005	口	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0005_3	w0005	口	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0006_1	w0006	白	1	白马很大。	bái mǎ hěn dà	Con ngựa trắng rất lớn.	白|马|很|大	w0006|w0008|w0020|w0003	___马很大。	白	w0006			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0006_2	w0006	白	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0006_3	w0006	白	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0007_1	w0007	女	1	女的在学校。	nǚ de zài xuéxiào	Người nữ ở trường học.	女|的|在|学|校	w0007	___的在学校。	女	w0007			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0007_2	w0007	女	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0007_3	w0007	女	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0008_1	w0008	马	1	我有马。	wǒ yǒu mǎ	Tôi có ngựa.	我|有|马	w0001|w0008	我有___。	马	w0008			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0008_2	w0008	马	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0008_3	w0008	马	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0009_1	w0009	一	1	一个口。	yī gè kǒu	Một cái miệng.	一|个|口	w0009|w0005	___个口。	一	w0009			HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_1	TRUE	ready	only_words_from_lesson_1_to_1	auto_from_vocab_example
s0009_2	w0009	一	2											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_2	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
s0009_3	w0009	一	3											HSK1	lesson-1	1	1			1	Nhóm 1|sentence_slot_3	TRUE	needs_content	only_words_from_lesson_1_to_1	can_bo_sung_cau_chua_tu_vung_nay
