nhóm	hán tự	pinyin	nghĩa tiếng việt		chiết từ	ví dụ		word_id	pinyin_no_tone	meaning_en	word_type	level	lesson_id	lesson_order	topic_id	grammar_ids	audio_url	image_url	difficulty	tags	is_active
Nhóm 1	我	wǒ	tôi	danh từ	Bên trái: Bộ Thủ (手 - biến thể: 扌) + Bên phải: Bộ Qua (戈)	我很好。(wǒ hěn hǎo)	Tôi rất tốt.	w0001	wo		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	好	hǎo	tôt	danh từ	Bộ Nữ (女 - nǚ): bộ tử  (子 - zǐ): 	我很好。(wǒ hěn hǎo)	Tôi rất tốt.	w0002	hao		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	大	dà	lớn	danh từ	Chữ Đại (大): hình người đứng dang rộng hai tay, nghĩa là to lớn.	马很大。(mǎ hěn dà)	Con ngựa rất lớn.	w0003	da		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	不	bù	không	danh từ	Chữ Bất (不): nét ngang ở trên, dưới là các nét rơi xuống; dùng để phủ định, nghĩa là không.	汉语不难。(Hànyǔ bù nán)	Tiếng Hán không khó.	w0004	bu		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	口	kǒu	miệng	danh từ	Bộ Khẩu (口): hình cái miệng, liên quan đến nói, ăn, hỏi.	口不大。(kǒu bù dà)	Miệng không lớn.	w0005	kou		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	白	bái	trắng	danh từ	Chữ Bạch (白): nét phẩy trên chữ Nhật (日), chỉ màu trắng, sáng.	白马很大。(bái mǎ hěn dà)	Con ngựa trắng rất lớn.	w0006	bai		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	女	nǚ	nữ	danh từ	Bộ Nữ (女): hình người phụ nữ, nghĩa là nữ.	女的在学校。(nǚ de zài xuéxiào)	Người nữ ở trường học.	w0007	nu		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	马	mǎ	ngựa	danh từ	Chữ Mã (马): giản thể của 馬, hình con ngựa.	我有马。(wǒ yǒu mǎ)	Tôi có ngựa.	w0008	ma		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	一	yī	1	danh từ	Chữ Nhất (一): một nét ngang, nghĩa là số 1.	一个口。(yī gè kǒu)	Một cái miệng.	w0009	yi		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
Nhóm 1	二	èr	2	danh từ	Chữ Nhị (二): hai nét ngang, nghĩa là số 2.	二月二号。(èr yuè èr hào)	Ngày 2 tháng 2.	w0010	er		danh từ	HSK1	lesson-1	1					1	Nhóm 1	TRUE
