# Câu tự biên soạn theo HSK 1 (150 từ); không phải câu trích từ đề thi.
# Câu|Pinyin|Dịch|Từ trọng tâm:nghĩa|Mẫu câu
我喝水。|Wǒ hē shuǐ.|Tôi uống nước.|水:nước|Chủ ngữ + động từ + tân ngữ
你喝水吗？|Nǐ hē shuǐ ma?|Bạn uống nước không?|水:nước|Câu hỏi với 吗
水很热。|Shuǐ hěn rè.|Nước nóng.|水:nước|Chủ ngữ + 很 + tính từ
他是中国人。|Tā shì Zhōngguó rén.|Anh ấy là người Trung Quốc.|人:người;中国:Trung Quốc|A + 是 + B
你是中国人吗？|Nǐ shì Zhōngguó rén ma?|Bạn là người Trung Quốc phải không?|人:người;中国:Trung Quốc|是…吗？
她是我的女儿。|Tā shì wǒ de nǚ'ér.|Cô bé là con gái tôi.|女儿:con gái|A + 是 + B; 的 chỉ sở hữu
我女儿三岁。|Wǒ nǚ'ér sān suì.|Con gái tôi ba tuổi.|女儿:con gái;三:ba|Nói tuổi: người + số + 岁
他是我的儿子。|Tā shì wǒ de érzi.|Cậu bé là con trai tôi.|儿子:con trai|A + 是 + B
我儿子五岁。|Wǒ érzi wǔ suì.|Con trai tôi năm tuổi.|儿子:con trai;五:năm|Nói tuổi
我有一个儿子。|Wǒ yǒu yī ge érzi.|Tôi có một con trai.|一:một;个:lượng từ;儿子:con trai|有 + số + lượng từ + danh từ
我有三个杯子。|Wǒ yǒu sān ge bēizi.|Tôi có ba cái cốc.|三:ba;个:lượng từ;杯子:cốc|有 + số + lượng từ + danh từ
这本书很大。|Zhè běn shū hěn dà.|Quyển sách này to.|本:lượng từ cho sách;书:sách;大:to|这 + lượng từ + danh từ; 很 + tính từ
那个苹果很大。|Nà ge píngguǒ hěn dà.|Quả táo kia to.|个:lượng từ;大:to|那 + lượng từ + danh từ
这个杯子很小。|Zhè ge bēizi hěn xiǎo.|Cái cốc này nhỏ.|个:lượng từ;杯子:cốc;小:nhỏ|很 + tính từ
