character_id	simplified	traditional	pinyin	han_viet	meaning_vi	origin_meaning_vi	derived_meaning_vi	etymology_type	etymology_note_vi	stroke_count	stroke_hint_vi	radical_form	radical_note_vi	week	category	core_rank	is_core	oracle_image_url	bronze_image_url	seal_image_url	evolution_source_url	compounds	hidden_examples	is_active
mono-001	一	一	yī	nhất	"một / đơn / một cái (mạo từ) / ngay khi / toàn bộ; tất cả; xuyên suốt / bộ ""một"" trong chữ Hán (bộ Khang Hy số 1) / cũng đọc là [yao1] để rõ hơn khi đọc từng chữ số một"	một	"đơn / một cái (mạo từ) / ngay khi / toàn bộ; tất cả; xuyên suốt / bộ ""một"" trong chữ Hán (bộ Khang Hy số 1) / cũng đọc là [yao1] để rõ hơn khi đọc từng chữ số một"	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: A single horizontal stroke, representing the number one.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	一	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	3	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%80&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%80&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%80&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B8%80&stype=0	一起 | 一些 | 一定 | 一直	一起 | 一些 | 一定	TRUE
mono-002	乙	乙	yǐ	ất	"đứng thứ hai trong mười Thiên Can 十天干[shi2 tian1 gan1] / hạng hai / chữ ""B"" hoặc số ""II"" trong danh sách ""A, B, C"", hoặc ""I, II, III"" v.v. / bên thứ hai (trong hợp đồng pháp lý, thường là 乙方[yi3 fang1], đối lập với 甲方[jia3 fang1]) / ethyl / cong / quanh co / bộ trong chữ Hán (bộ Khang Hy số 5) / hướng la bàn cổ Trung Quốc: 105°"	đứng thứ hai trong mười Thiên Can 十天干[shi2 tian1 gan1]	"hạng hai / chữ ""B"" hoặc số ""II"" trong danh sách ""A, B, C"", hoặc ""I, II, III"" v.v. / bên thứ hai (trong hợp đồng pháp lý, thường là 乙方[yi3 fang1], đối lập với 甲方[jia3 fang1]) / ethyl / cong / quanh co / bộ trong chữ Hán (bộ Khang Hy số 5) / hướng la bàn cổ Trung Quốc: 105°"	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Origin unclear.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	乙	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%99&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%99&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B9%99&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B9%99&stype=0	乙醇 | 乙肝 | 乙烯 | 聚乙烯	乙醇 | 乙肝 | 乙烯	TRUE
mono-003	二	二	èr	nhì	hai / 2 / (tiếng Bắc Kinh) ngu ngốc	hai	2 / (tiếng Bắc Kinh) ngu ngốc	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Two horizontal strokes, representing the number two.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	二	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	64	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%8C&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%8C&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%8C&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%BA%8C&stype=0	第二 | 第二天 | 第二次 | 周二	第二 | 第二天 | 第二次	TRUE
mono-004	十	十	shí	thập	mười / 10	mười	10	Chỉ sự/độc thể	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: A single vertical line, representing one set of ten. Analagous to the archaic characters 廿 (twenty) and 卅 (thirty).	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	十	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	76	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%81&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%81&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%81&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8D%81&stype=0	十分 | 十几 | 十足 | 十月	十分 | 十几 | 十足	TRUE
mono-005	丁	丁	Dīng	đinh	họ [Ding1]	họ [Ding1]		Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a nail, which is now written as 釘.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	丁	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%81&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%81&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%81&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B8%81&stype=0	马丁 | 拉丁 | 布丁 | 拉丁美洲	马丁 | 拉丁 | 布丁	TRUE
mono-006	厂	厂	hǎn	hán	"bộ ""hán"" trong chữ Hán (bộ Khang Hy số 27), xuất hiện trong 原, 历, 压 v.v."	"bộ ""hán"" trong chữ Hán (bộ Khang Hy số 27), xuất hiện trong 原, 历, 压 v.v."		Tượng hình	"Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a cliff or similarly shaped object. In simplified Chinese 厂 is also used to mean ""factory"", while in traditional Chinese this meaning is written with a separate character 廠. In simplified characters the 广 component is often written as 厂."	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	厂	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8E%82&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8E%82&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8E%82&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8E%82&stype=0	工厂 | 厂商 | 厂家 | 厂房	工厂 | 厂商 | 厂家	TRUE
mono-007	七	七	qī	thất	bảy / 7	bảy	7	Chỉ sự/độc thể	"Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Originally resembled a cross, depicting the meaning ""to cut"", since 七 sounds like 切 (qiē; to cut)."	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	七	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	97	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%83&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%83&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%B8%83&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%B8%83&stype=0	七月 | 乱七八糟 | 七星 | 七夕	七月 | 乱七八糟 | 七星	TRUE
mono-008	卜	卜	Bǔ	bốc	họ [Bu3]	họ [Bu3]		Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of a crack on a bone. In ancient China such cracks were used for divination.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	卜	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	0	FALSE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%9C&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%9C&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%8D%9C&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%8D%9C&stype=0	胡萝卜 | 萝卜 | 占卜 | 胡萝卜素	胡萝卜 | 萝卜 | 占卜	TRUE
mono-009	八	八	bā	bát	tám; 8	tám; 8		Tượng hình	"Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of two lines facing away from each other. The current meaning ""eight"" is a phonetic loan. The original meaning ""separate"" is now written as 别."	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	八	Thường giữ nguyên hình khi làm thành phần; có thể co hẹp theo vị trí.	5	Số đếm, Phương hướng & Khái niệm	93	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%AB&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%AB&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E5%85%AB&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E5%85%AB&stype=0	八卦 | 八月 | 乱七八糟 | 王八	八卦 | 八月 | 乱七八糟	TRUE
mono-010	人	人	rén	nhân	người; mọi người / LT:個|个[ge4],位[wei4]	người; mọi người	LT:個|个[ge4],位[wei4]	Tượng hình	Đối chiếu hình chữ cổ để nhận ra nét nghĩa gốc; ghi chú nguồn: Pictograph of the side view of a person.	0	Viết theo hoạt ảnh từng nét trong ứng dụng; tuân thủ trên trước dưới, trái trước phải.	亻	Khi làm thành phần chữ ghép thường biến thành 亻.	2	Con người & Cơ thể	4	TRUE	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%BA&f=%E7%94%B2%E9%AA%A8%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%BA&f=%E9%87%91%E6%96%87&s=200&c=black	https://char.iis.sinica.edu.tw/TTF/getTTF1.aspx?word=%E4%BA%BA&f=%E5%B0%8F%E7%AF%86&s=200&c=black	https://chardb.iis.sinica.edu.tw/search.jsp?q=%E4%BA%BA&stype=0	女人 | 别人 | 男人 | 有人	女人 | 别人 | 男人	TRUE
